clip	duration[ms]
common_voice_tw_35292435.mp3	4176
common_voice_tw_35280632.mp3	3708
common_voice_tw_35292369.mp3	2988
common_voice_tw_35292437.mp3	2520
common_voice_tw_40206828.mp3	3528
common_voice_tw_35292483.mp3	3240
common_voice_tw_35292382.mp3	3420
common_voice_tw_35292448.mp3	3780
common_voice_tw_35292482.mp3	5436
common_voice_tw_35292372.mp3	2736
common_voice_tw_35280491.mp3	3060
common_voice_tw_35280553.mp3	3276
common_voice_tw_40932708.mp3	5688
common_voice_tw_41094459.mp3	7308
common_voice_tw_40206827.mp3	5256
common_voice_tw_35292434.mp3	3168
common_voice_tw_35280633.mp3	3276
common_voice_tw_41029569.mp3	6048
common_voice_tw_35292423.mp3	3240
common_voice_tw_35292485.mp3	3960
common_voice_tw_35292377.mp3	2988
common_voice_tw_35280577.mp3	6156
common_voice_tw_35280565.mp3	2556
common_voice_tw_35292334.mp3	5688
common_voice_tw_35280540.mp3	5688
common_voice_tw_35280489.mp3	6300
common_voice_tw_34997393.mp3	5436
common_voice_tw_35280579.mp3	3780
common_voice_tw_35280439.mp3	3636
common_voice_tw_35280554.mp3	3060
common_voice_tw_35292413.mp3	3240
common_voice_tw_35292415.mp3	1980
common_voice_tw_35292432.mp3	2736
common_voice_tw_35280433.mp3	3168
common_voice_tw_35292409.mp3	3240
common_voice_tw_35292380.mp3	6048
common_voice_tw_35280463.mp3	5868
common_voice_tw_40258533.mp3	8676
common_voice_tw_35280576.mp3	4356
common_voice_tw_35280566.mp3	4320
common_voice_tw_35292356.mp3	2808
common_voice_tw_35292426.mp3	6588
common_voice_tw_35280562.mp3	2808
common_voice_tw_35292464.mp3	4896
common_voice_tw_35292374.mp3	2268
common_voice_tw_35292354.mp3	2808
common_voice_tw_35280464.mp3	4680
common_voice_tw_35280502.mp3	2700
common_voice_tw_40258531.mp3	8424
common_voice_tw_35280525.mp3	3060
common_voice_tw_41029568.mp3	8676
common_voice_tw_35280504.mp3	3420
common_voice_tw_35292402.mp3	5616
common_voice_tw_35292373.mp3	2520
common_voice_tw_35280550.mp3	5148
common_voice_tw_35292444.mp3	4356
common_voice_tw_40932711.mp3	4428
common_voice_tw_35280449.mp3	3636
common_voice_tw_35292343.mp3	7236
common_voice_tw_35280467.mp3	3420
common_voice_tw_40206813.mp3	6768
common_voice_tw_35292375.mp3	4356
common_voice_tw_40206810.mp3	9360
common_voice_tw_40932710.mp3	5256
common_voice_tw_35292449.mp3	2916
common_voice_tw_35292370.mp3	2808
